numero_votavel,sigla_uf,nome_partido,nome_votavel,total_votos
4001,ES,PSB,CARINA DAMM,700
2525,ES,DEM,GILSON AMARO,24229
2222,ES,PR,DERLI BAIENSE,4477
1320,ES,PT,GIVALDO,50928
1212,ES,PDT,SERGIO VIDIGAL,161744
1145,ES,PP,MARCUS VICENTE,45525
9090,ES,PROS,DR. JORGE SILVA,69880
2200,ES,PR,EDSON RIBEIRO,1227
4321,ES,PV,JOSE CARLOS PAULLI,11963
7012,ES,PT do B,MOISES DOS APOSENTADOS,907
1010,ES,PRB,DEVANIR FERREIRA,36174
1000,ES,PRB,JURANDY LOUREIRO,949
77,ES,SD,SD,1549
2555,ES,DEM,CLARINHA ZUCARATO,722
2220,ES,PR,VASCO ALVES,15735
2233,ES,PR,CORONEL WILLIAN,4493
2212,ES,PR,CHARLES JEAN,1612
5555,ES,PSD,DR JAQUES,6497
90,ES,PROS,PROS,788
31,ES,PHS,PHS,644
4043,ES,PSB,TADEU SÁ,1993
1555,ES,PMDB,LUCAS SCARAMUSSA,16009
3677,ES,PTC,WANDERSON RUELA,4344
1422,ES,PTB,CHUPETINHA,999
4300,ES,PV,JOSE CARLOS PEREIRA,2462
25,ES,DEM,DEM,3111
3636,ES,PTC,GERSON CORREIA,1095
3333,ES,PMN,JORGE HORTA,446
4399,ES,PV,HELIOMAR COSTA NOVAIS,11218
55,ES,PSD,PSD,1346
4515,ES,PSDB,TIÃO MATTIUZZI,2515
4533,ES,PSDB,MILENA,112
1311,ES,PT,JO DO PT,627
2800,ES,PRTB,ANTONIO BUNGENSTAB,1867
4013,ES,PSB,LACOURT 4013,456
4404,ES,PRP,HELENÊIDE RIBEIRO,87
5030,ES,PSOL,MARIANA GAVA,4264
4311,ES,PV,SONIA BUENO,1504
1213,ES,PDT,JOAO COSTELA,2222
1210,ES,PDT,GILBERTO CAREGNATO,324
4419,ES,PRP,RENATA PRATES,188
2544,ES,DEM,GILSON MESQUITA,278
4421,ES,PRP,WANDELKOOKEM,758
4414,ES,PRP,GRAZI CANDAL,29
1745,ES,PSL,MERYELLE DE ABREU,217
55,MA,PSD,PSD,3310
1522,MA,PMDB,ALBERTO FILHO,67885
2555,MA,DEM,SERGIO MUNIZ,3278
4000,MA,PSB,ALAN GANDRA,7879
4040,MA,PSB,ZÉ REINALDO,86728
7000,MA,PT do B,DR. PENALDON,20647
23,MA,PPS,PPS,3829
2727,MA,PSDC,ALUISIO MENDES,50658
3665,MA,PTC,LÚCIA MARINHO,7446
7070,MA,PT do B,LOURIVAL MENDES,27277
51,MA,PEN,PEN,3662
1789,MA,PSL,RICARDO ARCHER,49797
1225,MA,PDT,ROSÂNGELA CURADO,37726
44,MA,PRP,PRP,5081
5122,MA,PEN,JUNIOR MARRECA,50962
2822,MA,PRTB,CECE,281
2365,MA,PPS,PASTOR PORTO,25946
1714,MA,PSL,FERNANDA MARIA,3157
77,MA,SD,SD,3529
70,MA,PT do B,PT DO B,1695
22,MA,PR,PR,4703
50,MA,PSOL,PSOL,1820
20,MA,PSC,PSC,4526
4343,MA,PV,WASHINGTON RIO BRANCO,804
1788,MA,PSL,WOLMER ARAUJO,1372
4050,MA,PSB,ZECA MEDEIROS,2065
1722,MA,PSL,JOANA SERRAO,372
1513,MA,PMDB,HILDO ROCHA,125521
1315,MA,PT,NEY JEFFERSON,6713
25,MA,DEM,DEM,4297
4545,MA,PSDB,JAMILLE SUZART,7274
1365,MA,PT,MARCIO JARDIM,5755
2014,MA,PSC,COSTA FERREIRA,22862
1312,MA,PT,CHAGUINHA DINIZ,895
1720,MA,PSL,ANTONIO FRAZAO,445
3677,MA,PTC,ARI ROGERIO,1859
1277,MA,PDT,LAYDIANNE COSTA,202
1015,MA,PRB,RAMALHO,670
4010,MA,PSB,PROFESSOR JOMANIR JUNIOR,1769
19,MA,PTN,PTN,1924
2723,MA,PSDC,ZE MARIO,15162
6500,MA,PC do B,CLAÚDIO FURTADO,15601
1755,MA,PSL,PROFESSOR LUIS GUTERRES,972
1145,MA,PP,DAL DE TIMON MARANHÃO,422
1773,MA,PSL,ESTER SOARES,322
5050,MA,PSOL,PROF FRANCISCO,3319
1978,MA,PTN,RICARDINHO,636
5055,MA,PSOL,ISAC FERREIRA,548
3331,MA,PMN,ILDON MARQUES,31370
28,MA,PRTB,PRTB,1433
1611,MA,PSTU,ANTONIO MOQUIBOM,687
5555,MA,PSD,PROFESSOR CLEBER MEIRELES,971
1323,MA,PT,DR. ORLANDO,14866
2121,MA,PCB,GATO FELIX,684
1244,MA,PDT,DOMINGOS BARBOSA CAMPELO,302
1388,MA,PT,JÔ SOARES DOURADO,858
1320,MA,PT,MARTINS TETEU,125
2717,MA,PSDC,NATAN RODRIGUES,594
1455,MA,PTB,FELICIANO DO BOMBOM,3394
1325,MA,PT,DR. TOM DO PT,1201
1413,MA,PTB,PASTOR ANTÔNIO CÍCERO,565
1780,MA,PSL,AMIN TRABULSE,132
5100,MA,PEN,DALVA LOPES,244
5412,MA,PPL,GILDASIO ARRAIS,419
5445,MA,PPL,REGINALDO SANTOS,318
3663,MA,PTC,VERA RODRIGUES,187
7081,MA,PT do B,PASTOR SANTIAGO,192
3613,MA,PTC,VALDENIR ARAUJO LIMA,860
2815,MA,PRTB,JULIETE ANDRADE,824
7789,MA,SD,PROFª LEONILDE CHAVES,2643
3322,MA,PMN,DILMAR ARAÚJO,1728
2177,MA,PCB,MOREIRA DO MARWEL,397
2844,MA,PRTB,EVALDO LEAL,25
3622,MA,PTC,ILTON ALVES VIANA,6740
1350,MA,PT,ALEXANDRE ARAÚJO,1026
9000,MA,PROS,JADSON MELO,794
3334,MA,PMN,EDVAN MATOS,232
1511,MS,PMDB,GERALDO RESENDE,87546
1567,MS,PMDB,MARÇAL FILHO,39852
55,MS,PSD,PSD,2824
1414,MS,PTB,NELSON OSÓRIO,1070
16,MS,PSTU,PSTU,515
1533,MS,PMDB,MARIA ELOIR,2670
1552,MS,PMDB,RICARDO CANDIA,3532
2014,MS,PSC,DR. LUIZ OVANDO,9476
2222,MS,PR,DR ANTONIO CRUZ,34086
3131,MS,PHS,CARDOSO - O HOMEM DA MULETA,712
1377,MS,PT,AMARILIS AMARAL,2034
51,MS,PEN,PEN,788
3123,MS,PHS,ODAIR BORTOLOTI,2709
5511,MS,PSD,CORINGA,15738
54,MS,PPL,PPL,358
1510,MS,PMDB,DR. WILSON SAMI,7312
1516,MS,PMDB,LU,1514
5050,MS,PSOL,KELLY DO PSOL,1793
4444,MS,PRP,BETO TELES,890
4555,MS,PSDB,FREDSON FREITAS,6168
1235,MS,PDT,BETH ALTAFINI,636
43,MS,PV,PV,987
17,MS,PSL,PSL,332
50,MS,PSOL,PSOL,1391
5515,MS,PSD,MARCIA BRAMBILLA,92
4577,MS,PSDB,CRISTINA RODRIGUES,450
1505,MS,PMDB,JOHNNY GUERRA GAI,2258
1744,MS,PSL,MARIA THEREZA,295
3122,MS,PHS,MIOJO ROSÂNGELA,269
2545,MS,DEM,PROFESSORA VALDECI,309
5456,MS,PPL,MARQUINHOS RIBEIRO,490
3108,MS,PHS,SONIA MARINHO,100
1714,MS,PSL,LISA SANTOS,41
1199,MS,PP,MARIA ROCHA,170
4413,MS,PRP,CHICO NASCIMENTO,174
36,PA,PTC,PTC,702
2222,PA,PR,LUCIO VALE,148163
2323,PA,PPS,JORDY,70950
4556,PA,PSDB,FRANCISCA SOUSA,1010
4565,PA,PSDB,DENISE GABRIEL,33404
4567,PA,PSDB,CHITA,22295
5015,PA,PSOL,PROFESSOR RIGLER,1954
1010,PA,PRB,RAUL BATISTA,104356
1314,PA,PT,ANA JULIA CAREPA,58938
1456,PA,PTB,JOSUÉ BENGTSON,122995
1550,PA,PMDB,PAULA TITAN,67324
1588,PA,PMDB,SIMONE MORGADO,76510
5500,PA,PSD,DELEGADO EDER MAURO,265983
5512,PA,PSD,MICÉLIA,671
5555,PA,PSD,JOAQUIM PASSARINHO,76148
5577,PA,PSD,CHAPADINHA,63671
9010,PA,PROS,BETO SALAME,93524
14,PA,PTB,PTB,7848
51,PA,PEN,PEN,1538
54,PA,PPL,PPL,1579
3123,PA,PHS,SGT. DILSON,2672
4555,PA,PSDB,WILSON NETO,7385
1777,PA,PSL,DRA. REGINA SOARES,3417
4500,PA,PSDB,MARIO MOREIRA,40293
4343,PA,PV,FRED,1535
22,PA,PR,PR,4911
5000,PA,PSOL,RUBENIXON,6818
70,PA,PT do B,PT DO B,727
1522,PA,PMDB,JOAQUIM CAMPOS,60749
1544,PA,PMDB,PIPICO,2593
4511,PA,PSDB,ELIEZER FREITAS,2985
7070,PA,PT do B,DR. ELENILSON,14213
9090,PA,PROS,DUDIMAR PAXIUBA,16082
1221,PA,PDT,BISPO MILANI,4388
2014,PA,PSC,DR. ZÉ ROBERTO,13686
5151,PA,PEN,SAMUEL SIQUEIRA,917
1213,PA,PDT,IRMÃO JOCLAU,3164
7733,PA,SD,ZECA PIRÃO,26146
5077,PA,PSOL,ROSA MARIA,317
2500,PA,DEM,WALDOLI VALENTE,15500
16,PA,PSTU,PSTU,902
50,PA,PSOL,PSOL,3986
3636,PA,PTC,JOÃO VIANA,1717
3344,PA,PMN,PATO,3591
2828,PA,PRTB,JUNIOR SUPER,606
77,PA,SD,SD,4919
23,PA,PPS,PPS,3464
2522,PA,DEM,NÉLIO AGUIAR,84601
1155,PA,PP,EVA ROCHA,777
3333,PA,PMN,HILTON - DURAES - DURÃO,614
5051,PA,PSOL,SILVIA LETÍCIA,2213
19,PA,PTN,PTN,348
17,PA,PSL,PSL,630
4321,PA,PV,RAIMUNDO OLIVEIRA,1056
4077,PA,PSB,PASTOR CARLOS ALBERTO,20549
2505,PA,DEM,NAZARÉ,63
2580,PA,DEM,JEOVÁ DE AGUIAR,1865
1214,PA,PDT,NARA PAMPLONA,1132
5088,PA,PSOL,EDSON CATENDÊ,1749
5020,PA,PSOL,CLAUDIO,396
2314,PA,PPS,MARI FERREIRA,99
1755,PA,PSL,LUCIO CARDOSO,134
3191,PA,PHS,LIVIA ABREU,340
5007,PA,PSOL,ROSA NAZARÉ,41
1940,PA,PTN,MARIA DO LANCHE,17
5043,PA,PSOL,KATIA SANCHES,165
5101,PA,PEN,PEDRO PAULO,107
1207,PA,PDT,LEUNICE,15
25,PB,DEM,DEM,4058
27,PB,PSDC,PSDC,277
1111,PB,PP,AGUINALDO RIBEIRO,161999
1112,PB,PP,FERNANDO BORGES,7360
1212,PB,PDT,DR. DAMIÃO,67558
1411,PB,PTB,WILSON FILHO,95746
1510,PB,PMDB,VENEZIANO,177680
4456,PB,PRP,"JOSEMY COSTA, MI",2070
4510,PB,PSDB,PEDRO CUNHA LIMA,179886
5050,PB,PSOL,RENAN PALMEIRA,8240
6565,PB,PC do B,PERCIVAL,3474
7000,PB,PT do B,ISAAC VENERANDO,14650
2888,PB,PRTB,FERNANDO ANTONIO,2306
36,PB,PTC,PTC,610
50,PB,PSOL,PSOL,1678
77,PB,SD,SD,1046
43,PB,PV,PV,780
4377,PB,PV,WALESKA CABRAL,992
1511,PB,PMDB,AUXI SILVEIRA,1070
23,PB,PPS,PPS,1721
1311,PB,PT,RICARDO AGRA,878
2820,PB,PRTB,TITELA,172
22,PB,PR,PR,2726
4344,PB,PV,ADAILTO BARROS,232
